,tweet_text
926,  Demonetization move of Modi  Who is supporting it  who is opposing it and why  A complete coverage of all parties   
927, The effect of  Demonetization      
928, The effect of  Demonetization      
929, Ts is exactly what Pappu  amp  opposition has done to themselves by opposing  Demonetization Now none can stop Modi bandwagon ti 
930, On  at 9pm  DeMonetization
931, Ts is exactly what Pappu  amp  opposition has done to themselves by opposing  Demonetization Now none can stop Modi bandwagon ti 
932,Terrorists use Bitcoin  demonetisation won t impact them  Digvijaya   Bitcoin   Demonetization   India     
933, Waiting in line is only one way poor people will be hurt by  Demonetization  To know full impact we need to answers to man 
934,  Demonetization move of Modi  Who is supporting it  who is opposing it and why  A complete coverage of all parties   
935, Interesting results from  APP poll on  DeMonetization   It is still open   Please participate 
936,  Demonetization move of Modi  Who is supporting it  who is opposing it and why  A complete coverage of all parties   
937, Rs 40 lakh looted from a bank in Kishtwar in J amp K  Third such incident since  demonetization  That s how terrorists have 
938,15th days  amp  main headlines still on  Demonetization  Other serious issues inc  the Pak army crossfire being neglected  Not good for country 
939, Thanks to  demonetization 75  reduction in crime rate in India  Black money seems to be the sole reason 4 all problems in In 
940, Rs 40 lakh looted from a bank in Kishtwar in J amp K  Third such incident since  demonetization  That s how terrorists have 
941, Question in Narendra Modi App where PM is taking feedback if people support his  DeMonetization strategy 
942, Rs 40 lakh looted from a bank in Kishtwar in J amp K  Third such incident since  demonetization  That s how terrorists have 
943,Did you vote on  Demonetization on Modi survey app 
944,  Unfortunately for Pessimists like  BJP Insider   Demonetization is becoming Success  
945, Why   amp   trying to instigate Indians 4 a Civil war in India against  demonetization Arrest them 
946, Rs 40 lakh looted from a bank in Kishtwar in J amp K  Third such incident since  demonetization  That s how terrorists have 
947, Demonetization move of Modi  Who is supporting it  who is opposing it and why  A complete coverage of all parties   
948, demonetization is Vishwasghaat BreachOfTrust Cheating  where the words of RBI governor on a 500 1000 note now worth rubbish 
949, They are all protesting against  Demonetization But how many of them have been so vocal about Corruption  Deliberately 
950, Here s a round up of what the  bloggers blogged about  demonetization  Read it in Buzzing Blogosphere below   
951,Here s a round up of what the  bloggers blogged about  demonetization  Read it in Buzzing Blogosphere below   
952,  DeMonetization survey results after 24 hours 5Lacs opinions Amazing response amp  Commitment in fight against Blackmoney  
953, On  at 9pm  DeMonetization
954, Interesting results from  APP poll on  DeMonetization   It is still open   Please participate 
955,After pushing people into a new sport of chasing ATMs  amp  Banks they chose to play a different sport  demonetization 
956, The effect of  Demonetization      
957, Zerch   Blog  How we leveraged the power of location aware techn      Demonetization  IndiaFightsBlack 
958, Interesting results from  APP poll on  DeMonetization   It is still open   Please participate 
959,  DeMonetization survey results after 24 hours 5Lacs opinions Amazing response amp  Commitment in fight against Blackmoney  
960, Interesting results from  APP poll on  DeMonetization   It is still open   Please participate 
961, Pathetic journalism   when media thought you can get STDs from ATMs  Another attempt to malign  Demonetization 
962,  DeMonetization survey results after 24 hours 5Lacs opinions Amazing response amp  Commitment in fight against Blackmoney  
963, New trick by  to scare people    Before  demonetization ATMs cleaned by Dettol   STD by ATM  Where is 
964,Do you think Narendra Modi s  Demonetization will serve its intended purpose   
965, Delhiites least affected by  demonetization  amp  long queues at ATMs  They are doing online transactions with free wi fi 
966, Ts is exactly what Pappu  amp  opposition has done to themselves by opposing  Demonetization Now none can stop Modi bandwagon ti 
967,Indirect way of losing job  due to  demonetization     
968, Left is going to file a petition in SC against govts decision on  demonetization   My que is why the hell don t you debate i 
969, Interesting results from  APP poll on  DeMonetization   It is still open   Please participate 
970, Putting Nation over Party Politics  nitishkumar supports PM  on  Demonetization 
971,  takes a bite of the governemnt big  demonetization pie  becomes first  paymentbank to go live  
972, Interesting results from  APP poll on  DeMonetization   It is still open   Please participate 
973, Rs 40 lakh looted from a bank in Kishtwar in J amp K  Third such incident since  demonetization  That s how terrorists have 
974,Ts is exactly what Pappu  amp  opposition has done to themselves by opposing  Demonetization Now none can stop Modi ban  
975, Interesting results from  APP poll on  DeMonetization   It is still open   Please participate 
976,Waiting in line is only one way poor people will be hurt by  Demonetization  To know full impact we need to answers to many questions  2 
977, Watch briefing on  Demonetization by DEA Secy  this morning here  
978, The effect of  Demonetization      
979, Man ends life over fund shortage ahead of daughter s wedding in Gujarat    Demonetization    
980,MamataOfficial After  Demonetization max amount was deposited in  JanDhanAccount in WB  What is the matter  How u brought so much prosperity
981, The Modi app on  DeMonetization proves once again that the govt is totally indifferent to the mounting misery and hards 
982,  PM asks for opinion on  demonetization via official  NarendraModi app  
983, The effect of  Demonetization      
984,Interesting results from  APP poll on  DeMonetization   It is still open   Please participate 
985, The Modi app on  DeMonetization proves once again that the govt is totally indifferent to the mounting misery and hards 
986, The effect of  Demonetization      
987, Rs 40 lakh looted from a bank in Kishtwar in J amp K  Third such incident since  demonetization  That s how terrorists have 
988,  DeMonetization survey results after 24 hours 5Lacs opinions Amazing response amp  Commitment in fight against Blackmoney  
989,  DeMonetization survey results after 24 hours 5Lacs opinions Amazing response amp  Commitment in fight against Blackmoney  
990,  DeMonetization survey results after 24 hours 5Lacs opinions Amazing response amp  Commitment in fight against Blackmoney  
991, On  at 9pm  DeMonetization
992, The effect of  Demonetization      
993,  Continue with your rants against  demonetization  People of Bengal has answered you  LOL Salaam  
994,  DeMonetization PMModi had exposed TMC  amp  it s Chief Mamta Di with reg corruption in WB  that Bengal Didn t change but Mam 
995,  DeMonetization PMModi had exposed TMC  amp  it s Chief Mamta Di with reg corruption in WB  that Bengal Didn t change but Mam 
996, The effect of  Demonetization      
997,Bet she has a hand in this        DeMonetisation  demonetization 
998, Critical question  Was PayTM informed about  Demonetization edict by PM  It s clearly fishy and requires full disclosure  amp  
999, The effect of  Demonetization      
1000,  DeMonetization survey results after 24 hours 5Lacs opinions Amazing response amp  Commitment in fight against Blackmoney  
1001, Mug of water from ocean is representative of the ocean   demonetization  
1002, On  at 9pm  DeMonetization
1003,  DeMonetization AAP protests by marching Against Govts move over DeMonetization  amp  he is also detained as he Tried 2 March 
1004,We are with you prime minister sir in fact whole country is with you jai hind  Demonetization
1005,  Demonetization The time has come to put MUDRA into action  writes Prof  R Vaidyanathan      
1006,  DeMonetization survey results after 24 hours 5Lacs opinions Amazing response amp  Commitment in fight against Blackmoney  
1007, Rs 40 lakh looted from a bank in Kishtwar in J amp K  Third such incident since  demonetization  That s how terrorists have 
1008, Calling all Nationalists to join    Walk for  CorruptionFreeIndia and spread the benefits of  Demonetization among the mas 
1009, Interesting    But not a surprise I guess  Need to check data in retrospection i guess   Demonetization  BlackMoney ht 
1010, cashlessindia effect of  demonetization this is indeed a smart move     
1011,When Airtel deducts ur Rs 30 u go mad at them   Kejri  amp  Mamta has lost thousands of crores and u want then to keep calm   ed  U 00A0  U 00BD  ed  U 00B8  U 008B  ed  U 00A0  U 00BD  ed  U 00B8  U 0082  ed  U 00A0  U 00BD  ed  U 00B8  U 008B   Demonetization
1012, Putting Nation over Party Politics  nitishkumar supports PM  on  Demonetization 
1013, Rs 40 lakh looted from a bank in Kishtwar in J amp K  Third such incident since  demonetization  That s how terrorists have 
1014, The effect of  Demonetization      
1015, The effect of  Demonetization      
1016,I wonder why any politician not making any noise against  Demonetization in southern India 
1017, Tackling  Demonetization  9 New Steps to Help Citizens Fight the Cash Crunch  
1018, The effect of  Demonetization      
1019,  DeMonetization survey results after 24 hours 5Lacs opinions Amazing response amp  Commitment in fight against Blackmoney  
1020,  MD ItzCash   was live on ET talking about the impact of  Demonetization towards digitization in India  
1021, Today s  DeshKiBaat Debate Panelist on  Demonetization Watch tonight  30pm  All Etv Hindi Channels  
1022, Question in Narendra Modi App where PM is taking feedback if people support his  DeMonetization strategy 
1023, On  at 9pm  DeMonetization
1024, The effect of  Demonetization      
1025, The effect of  Demonetization      
1026,5 00 000 people supported Modi Ji s idea  It s like taking a mug out of ocean of 130 billion   Demonetization
1027, The effect of  Demonetization      
1028, After  Demonetization  Centre to bring in a Mental Bankruptcy bill in Parliament  Sources   U 0906  U 092A   U 092A  U 093E  U 0917  U 0932   U 0939  U 0948  U 0902  
1029,Open message of  Indian  Child to Prime Minister  Modi   Demonetization  Demonetisation 
1030,On  at 9pm  DeMonetization
1031,I have also conducted one survey on  My Son  App wherein my family have to vote for me  I got 95  in a sample size of 2    Demonetization
1032, They are all protesting against  Demonetization But how many of them have been so vocal about Corruption  Deliberately 
1033, Rs 40 lakh looted from a bank in Kishtwar in J amp K  Third such incident since  demonetization  That s how terrorists have 
1034, The effect of  Demonetization      
1035, Watch  Somebody made a spoof video on  demonetization with  AeDilHaiMushkil trailer and it s hilarious  htt 
1036,Lets not support this  Bharath Bandh  called by anti nationals   Demonetization  iSupportModi 
1037,  stop ur childsh acts Indians supprt modi 4  demonetization   u may b havin blak money dats y opposng policy 
1038, true they re helping  demonetization
1039, Man ends life over fund shortage ahead of daughter s wedding in Gujarat   Demonetization    
1040, After  Demonetization  Centre to bring in a Mental Bankruptcy bill in Parliament  Sources   U 0906  U 092A   U 092A  U 093E  U 0917  U 0932   U 0939  U 0948  U 0902  
1041,  DeMonetization survey results after 24 hours 5Lacs opinions Amazing response amp  Commitment in fight against Blackmoney  
1042, After  Demonetization  Centre to bring in a Mental Bankruptcy bill in Parliament  Sources   U 0906  U 092A   U 092A  U 093E  U 0917  U 0932   U 0939  U 0948  U 0902  
1043, The effect of  Demonetization      
1044, Rs 40 lakh looted from a bank in Kishtwar in J amp K  Third such incident since  demonetization  That s how terrorists have 
1045,Over 93  support  demonetization   PM Modi thanks people for  historic participation    ji ki jay ho  
1046, The effect of  Demonetization      
1047, RakhiSawant Support  demonetization of  Currency By  PMModi   VIDEO U 279C  
1048,  Demonetization The time has come to put MUDRA into action  writes Prof  R Vaidyanathan      
1049,MODIG harming his popularity reputation by working under directions of FM who hell bent on destruction of MODIG in full by  demonetization
1050,Trump   Polls are rigged  Modi   I know  hence I make my own  Prepare for some jaw dropping one upmanship in next few years  Demonetization
1051,  we elected u 4 taking bold decisions in national interest  Bigger cry against  demonetization means bigger lo 
1052, Putting Nation over Party Politics  nitishkumar supports PM  on  Demonetization 
1053,  DeMonetization survey results after 24 hours 5Lacs opinions Amazing response amp  Commitment in fight against Blackmoney  
1054, Demonetization All colors ed  U 00A0  U 00BD  ed  U 00B1  U 0087  agree in darkness  Francis Bacon 
1055, After  Demonetization  Centre to bring in a Mental Bankruptcy bill in Parliament  Sources   U 0906  U 092A   U 092A  U 093E  U 0917  U 0932   U 0939  U 0948  U 0902  
1056,Now most ladies will have to change their bra sizes from 34B to 38D to accommodate 100 Rs  Notes      p      D  Demonetization
1057, Bad thing is The position of Worthless Unpaid Hubbies surviving on wife s money remains same aftr  demonetization  amp  r free to 
1058, A Round Table on  Long  amp  Short Term Impact of  Demonetization on Indian Economy  amp  GDP  organized by    
1059,  DeMonetization survey results after 24 hours 5Lacs opinions Amazing response amp  Commitment in fight against Blackmoney  
1060,  Tax Compliance is a big issue     at the Round Table on  Long  amp  Short Term Impact of  Demonetization on 
1061, On  demonetization  I know nothing  My confession on   amp    SocialMedia  EchoChamber  India 
1062, BreakingNews  Demonetization Dear friends  IRRESPONSIBLE Mamatha Banerjee is planing for BHARATH BANDH on    
1063,Not fair at all seems  Demonetization wave have claimed the rest 
1064,After  Demonetization  Centre to bring in a Mental Bankruptcy bill in Parliament  Sources   U 0906  U 092A   U 092A  U 093E  U 0917  U 0932   U 0939  U 0948  U 0902  
1065, The effect of  Demonetization      
1066, RT if you support  Demonetization and Favorite if you are against it   BlackMoney
1067,  DeMonetization PMModi had exposed TMC  amp  it s Chief Mamta Di with reg corruption in WB  that Bengal Didn t change but Mam 
1068, I reserve the right to seriously judge anyone who uses these stats to justify  demonetization knowing how the survey is 
1069, The effect of  Demonetization      
1070,  DeMonetization survey results after 24 hours 5Lacs opinions Amazing response amp  Commitment in fight against Blackmoney  
1071, Demonetization   How does it impact the common man   Read our views here    
1072, Your sister and her husband when ur father gives u all his assets   demonetization 
1073, Huge support for PM   s  demonetization Move Across the Nation  80 86  people back demonetization  C voter su 
1074, Watching  sir in a debate with  on News24 on  Demonetization   ed  U 00A0  U 00BD  ed  U 00B1  U 008C 
1075, The Modi app on  DeMonetization proves once again that the govt is totally indifferent to the mounting misery and hards 
1076,The effect of  Demonetization      
1077,  DeMonetization survey results after 24 hours 5Lacs opinions Amazing response amp  Commitment in fight against Blackmoney  
1078,I think the real beneficiary of  Demonetization in India is  PayTM  it solved the problem of sellers and buyers  many ppl near me use 
1079,  DeMonetization survey results after 24 hours 5Lacs opinions Amazing response amp  Commitment in fight against Blackmoney  
1080, Rs 40 lakh looted from a bank in Kishtwar in J amp K  Third such incident since  demonetization  That s how terrorists have 
1081, Question in Narendra Modi App where PM is taking feedback if people support his  DeMonetization strategy 
1082,Reddy s lavish wedding earns him IT notice  now Congress leader hosts similar wedding  
1083,  sorry bro but we support  demonetization
1084, 92  people support  s  Demonetization on  Modi App  amp  insist decision should not be back  
1085,  DeMonetization survey results after 24 hours 5Lacs opinions Amazing response amp  Commitment in fight against Blackmoney  
1086,  DeMonetization survey results after 24 hours 5Lacs opinions Amazing response amp  Commitment in fight against Blackmoney  
1087,There is pain  There is suffering   Inflicted by  demonetization  Time to show gratitude  empathy  not to be dismissive   I salute public 
1088, Think  slaves   think   Demonetization 
1089, The Modi app on  DeMonetization proves once again that the govt is totally indifferent to the mounting misery and hards 
1090, Bad thing is The position of Worthless Unpaid Hubbies surviving on wife s money remains same aftr  demonetization  amp  r free to 
1091,Atlast    What I was waiting for  Rats r out when confronted truth that Co op banks not exempted    
1092, Rs 40 lakh looted from a bank in Kishtwar in J amp K  Third such incident since  demonetization  That s how terrorists have 
1093,  DeMonetization survey results after 24 hours 5Lacs opinions Amazing response amp  Commitment in fight against Blackmoney  
1094,  DeMonetization survey results after 24 hours 5Lacs opinions Amazing response amp  Commitment in fight against Blackmoney  
1095, Reddy Wedding   cartoon  demonetization  ReddyWedding 
1096, The Modi app on  DeMonetization proves once again that the govt is totally indifferent to the mounting misery and hards 
1097,All crooks protesting  Demonetization  BlackMoney 
1098, Rs 40 lakh looted from a bank in Kishtwar in J amp K  Third such incident since  demonetization  That s how terrorists have 
1099, Tackling  Demonetization  9 New Steps to Help Citizens Fight the Cash Crunch  
1100, Think  slaves   think   Demonetization 
1101,What I want to see is investigative journalism  governance of money trail after 50 day  DeMonetization is over  amp  where  India failed as well
1102, America has the  technology to go cashless  but nobody trusts it enough      demonetization  
1103,OPPOSITE PARTY JITNE TAKAT  demonetization ko rok ne me lag rhi he itni takat help me kar dte to use achha hota 
1104, Question in Narendra Modi App where PM is taking feedback if people support his  DeMonetization strategy 
1105,So what s the problem if offline cash is getting online  it is now traceable  amp  taxable and this is all about  
1106, The Modi app on  DeMonetization proves once again that the govt is totally indifferent to the mounting misery and hards 
1107,  DeMonetization survey results after 24 hours 5Lacs opinions Amazing response amp  Commitment in fight against Blackmoney  
1108,  DeMonetization survey results after 24 hours 5Lacs opinions Amazing response amp  Commitment in fight against Blackmoney  
1109, They are all protesting against  Demonetization But how many of them have been so vocal about Corruption  Deliberately 
1110, Question in Narendra Modi App where PM is taking feedback if people support his  DeMonetization strategy 
1111,  DeMonetization survey results after 24 hours 5Lacs opinions Amazing response amp  Commitment in fight against Blackmoney  
1112,  DeMonetization survey results after 24 hours 5Lacs opinions Amazing response amp  Commitment in fight against Blackmoney  
1113,Think  slaves   think   Demonetization 
1114, Question in Narendra Modi App where PM is taking feedback if people support his  DeMonetization strategy 
1115,  Demonetization The time has come to put MUDRA into action  writes Prof  R Vaidyanathan      
1116, It s KARMA   BlackMoney  demonetization  EkSacchaKadam  NoRollBackOfDeMonetization 
1117, Left is going to file a petition in SC against govts decision on  demonetization   My que is why the hell don t you debate i 
1118,When life gives 500 or 1000 reasons to struggle  show the world that you have  2000 reasons to SMILE      demonetization
1119,  DeMonetization survey results after 24 hours 5Lacs opinions Amazing response amp  Commitment in fight against Blackmoney  
1120,  DeMonetization survey results after 24 hours 5Lacs opinions Amazing response amp  Commitment in fight against Blackmoney  
1121, But Modi  amp  Chamchas told Terrorism wiped off after  Demonetization 
1122, Rs 40 lakh looted from a bank in Kishtwar in J amp K  Third such incident since  demonetization  That s how terrorists have 
1123, Absolutely hilarious corrupt protesting in the name of poor against   Demonetization
1124,  DeMonetization survey results after 24 hours 5Lacs opinions Amazing response amp  Commitment in fight against Blackmoney  
1125, Calling all Nationalists to join    Walk for  CorruptionFreeIndia and spread the benefits of  Demonetization among the mas 
1126,  DeMonetization survey results after 24 hours 5Lacs opinions Amazing response amp  Commitment in fight against Blackmoney  
1127, They are all protesting against  Demonetization But how many of them have been so vocal about Corruption  Deliberately 
1128, DeMonetization survey results after 24 hours 5Lacs opinions Amazing response amp  Commitment in fight against Blackmon  
1129, 95  sacrificing to cleanse 5   Benefits of  Demonetization should reach the common man in same ratio
1130,Who put  demon  in  Demonetization
1131, Dear   CREDAI supports your  Demonetization drive   amp  we are geared up for a smoother transition towards a tran 
1132, Thanks for support     YouthWithBJP   U 0938  U 093E  U 0930  U 0947   U 091A  U 094B  U 0930   U 092E  U 091A  U 093E  U 092F  U 0947   U 0936  U 094B  U 0930   demonetization 
1133,  deserves a tight slap on his face   demonetization  BlackMoney  KejriPappuDidiTypes   U 0938  U 093E  U 0930  U 0947   U 091A  U 094B  U 0930   U 092E  U 091A  U 093E  U 092F  U 0947   U 0936  U 094B  U 0930  
1134,That why  is leading agitation against  demonetization      
1135, Question in Narendra Modi App where PM is taking feedback if people support his  DeMonetization strategy 
1136, Survey gives overwhelming support to  demonetization  One question should hv been added that whom did you vote in the 2014  Loksabha el 
1137, Rs 40 lakh looted from a bank in Kishtwar in J amp K  Third such incident since  demonetization  That s how terrorists have 
1138, Demonetization  The villagers apparently are caught in intriguing wrath from both the Army and militants 
1139,  DeMonetization is certainly hurting Lord   Behen Bagwati   and  a LOT  
1140, 2day  namovolunteers had meeting with  over  demonetization  decided 2 expose opposition by   U 0938  U 093E  U 0930  U 0947   U 091A  U 094B  U 0930   U 092E  U 091A  U 093E  U 092F  U 0947   U 0936  U 094B  U 0930  
1141, The only credible death  demonetization has caused seems to be of  s political career  D 
1142, 2day  namovolunteers had meeting with  ji over  demonetization  decided 2 expose opposition by   U 0938  U 093E  U 0930  U 0947   U 091A  U 094B  U 0930   U 092E  
1143,Incase you were wondering  this is what went isnide Vijay Shekhar Sharma s Paytm a day after  demonetization    
1144, A whopping 80  of people surveyed say the inconvenience caused by  DeMonetization is worth the effort as per a    
1145, Fate of  demonetization debate in Rajya Sabha is the most stark proof of the opposition s propaganda against govt s move hav 
1146, So  CJIThakur says there will be riots due to  DeMonetization Qs   No  SpicesNSecrets    No riots due to citizens  Waiting 
1147, effect of  DeMonetization   liberal educated mask slowly peeling off   too big a shock   starts showing his sadakchap thinkng
1148, 2day  namovolunteers had meeting with  over  demonetization  decided 2 expose opposition by   U 0938  U 093E  U 0930  U 0947   U 091A  U 094B  U 0930   U 092E  U 091A  U 093E  U 092F  U 0947   U 0936  U 094B  U 0930  
1149, 85  support  demonetization   Is this more likely now or if  SupremeCourt has another midnight hearing to stay execution o 
1150,  Demonetization The time has come to put MUDRA into action  writes Prof  R Vaidyanathan      
1151,  Demonetization public sentiment holding up as first deadline nears 
1152, Question in Narendra Modi App where PM is taking feedback if people support his  DeMonetization strategy 
1153, Rs 40 lakh looted from a bank in Kishtwar in J amp K  Third such incident since  demonetization  That s how terrorists have 
1154, So  CJIThakur says there will be riots due to  DeMonetization Qs   No  SpicesNSecrets    No riots due to citizens  Waiting 
1155, I reserve the right to seriously judge anyone who uses these stats to justify  demonetization knowing how the survey is 
1156, Calling all Nationalists to join    Walk for  CorruptionFreeIndia and spread the benefits of  Demonetization among the mas 
1157,  Demonetization The time has come to put MUDRA into action  writes Prof  R Vaidyanathan      
1158,  go get a life  You  amp  all other black money holders are exposed by  demonetization   U 0938  U 093E  U 0930  U 0947   U 091A  U 094B  U 0930   U 092E  U 091A  U 093E  U 092F  U 0947   U 0936  U 094B  U 0930   oppos 
1159, Huge support for PM   s  demonetization Move Across the Nation  80 86  people back demonetization  C voter su 
1160, Issey kehte hai jale pe namak chidakna    busy thanking frm 3 days but not bothered     
1161, Huge support for PM   s  demonetization Move Across the Nation  80 86  people back demonetization  C voter su 
1162, Bangalore s  visits 23 ATMs to see if media is lying about the note ban   demonetization 
1163,The most difficult condition to deal with is  medical emergency with no  cash  card or  insurance  Get  
1164, Stopping supply of condoms will stop prostitution    DeMonetization logic
1165, Well said ed  U 00A0  U 00BD  ed  U 00B1  U 008F  ed  U 00A0  U 00BC  ed  U 00BF  U 00BC  ed  U 00A0  U 00BD  ed  U 00B1  U 008F  ed  U 00A0  U 00BC  ed  U 00BF  U 00BC  ed  U 00A0  U 00BD  ed  U 00B1  U 008F  ed  U 00A0  U 00BC  ed  U 00BF  U 00BC at  IEC2016 on how  WeThePeople accepted  demonetization PEACEFULLY    Did U watc 
1166, Huge support for PM   s  demonetization Move Across the Nation  80 86  people back demonetization  C voter su 
1167, The Modi app on  DeMonetization proves once again that the govt is totally indifferent to the mounting misery and hards 
1168,  DeMonetization PMModi had exposed TMC  amp  it s Chief Mamta Di with reg corruption in WB  that Bengal Didn t change but Mam 
1169, Rs 40 lakh looted from a bank in Kishtwar in J amp K  Third such incident since  demonetization  That s how terrorists have 
1170, Most people are with you  on  Demonetization Pl run a poll on where citizens face most harassment in the 
1171, Huge support for PM   s  demonetization Move Across the Nation  80 86  people back demonetization  C voter su 
1172, Huge support for PM   s  demonetization Move Across the Nation  80 86  people back demonetization  C voter su 
1173,   ed  U 00A0  U 00BD  ed  U 00B9  U 008F  I m with you    Demonetization was a good decision against Corruption  but why it was not planned and execut 
1174, Demonetization may lead to home loan rates falling below 7  within the next six months to a year  Read more  
1175,Bandh politics started  not sure how the Bandh will help the people who are  supposedly  facing issues due to  demonetization   
1176, Rs 40 lakh looted from a bank in Kishtwar in J amp K  Third such incident since  demonetization  That s how terrorists have 
1177, I reserve the right to seriously judge anyone who uses these stats to justify  demonetization knowing how the survey is 
1178, Question in Narendra Modi App where PM is taking feedback if people support his  DeMonetization strategy 
1179,  Demonetization The time has come to put MUDRA into action  writes Prof  R Vaidyanathan      
1180, 700 Crores rupees of cash found in 3 medical colleges  Clearing the massive rot in medical admissions    Demonetization
1181, Will  demonetization nab the perpetrators of  BlackMoney 
1182,Poore din family wale job  ghar bache bhul bank aur post office k chakkar lagao  raat ATM wah  demonetization  
1183, Boycott Bharat Bandh i request  to address nation to boycott strike called by the oppositions on  Demonetization
1184,  Indeed  sir   ICYMI  replugging my review here   demonetisation   demonetization  
1185,The Modi app on  DeMonetization proves once again that the govt is totally indifferent to the mounting misery and hardship of the people 
1186, Have You Shared Your Views on  Demonetization to  PMModi Take Part in Survey on  NMApp   amp  Be A Part of Nation Building 
1187, Have You Shared Your Views on  Demonetization to  PMModi Take Part in Survey on  NMApp   amp  Be A Part of Nation Building 
1188,Separatists Naxalites Tertorists  Mafias Black Money hoarders ISI Agents amp  DALAL politicians r only opposing  
1189, Since  demonetization drive began  donations to temples across the nation have increased   cashchaos  
1190, Rs 40 lakh looted from a bank in Kishtwar in J amp K  Third such incident since  demonetization  That s how terrorists have 
1191, Over 90  of respondents feel govt s move to tackle  black money is above four star rating   demonetization  survey via TOI   
1192,  Startups owned  demonetization but could we see a  FinTech fall   up for  ThinkNext2016 
1193,I m not particularly against  demonetization  but those survey results the Prime Minister shared are such b s  Heights of fudging polls   ed  U 00A0  U 00BD  ed  U 00B8  U 0082  ed  U 00A0  U 00BD  ed  U 00B8  U 0082 
1194, Jan Dhan   Gujarat  Congress announces series of  agitation programme against  demonetization 
1195, This is the most beautiful post I have seen in these last few turbulent days  ed  U 00A0  U 00BD  ed  U 00B9  U 008F    demonetization  CorruptionCle 
1196,5L till now  4 65L from India   90   Gives  ed  U 00A0  U 00BD  ed  U 00B1  U 008D  To  Demonetization Huge sample size  
1197,From a customer care point of view  the railway housekeeping  amp  sanitation feedback form is far superior than the Modi app on  DeMonetization
1198, Rs 40 lakh looted from a bank in Kishtwar in J amp K  Third such incident since  demonetization  That s how terrorists have 
1199,  we elected u 4 taking bold decisions in national interest  Bigger cry against  demonetization means bigger lo 
1200, I reserve the right to seriously judge anyone who uses these stats to justify  demonetization knowing how the survey is 
1201, I reserve the right to seriously judge anyone who uses these stats to justify  demonetization knowing how the survey is 
1202,What is the impact of  Demonetization on various sectors like Real Estate  Consumption  Banks  Read our views here  
1203, As of today  33000 thousand ATMs are functioning    SBI Chairman  Smt  Arundhati Bhattacharya   Demonetization
1204, I reserve the right to seriously judge anyone who uses these stats to justify  demonetization knowing how the survey is 
1205, Question in Narendra Modi App where PM is taking feedback if people support his  DeMonetization strategy 
1206, I reserve the right to seriously judge anyone who uses these stats to justify  demonetization knowing how the survey is 
1207,I reserve the right to seriously judge anyone who uses these stats to justify  demonetization knowing how the surve  
1208, Have You Shared Your Views on  Demonetization to  PMModi Take Part in Survey on  NMApp   amp  Be A Part of Nation Building 
1209,  Demonetization The time has come to put MUDRA into action  writes Prof  R Vaidyanathan      
1210, Today s  DeshKiBaat Debate Panelist on  Demonetization Watch tonight  30pm  All Etv Hindi Channels  
1211, There is pain  There is suffering   Inflicted by  demonetization  Undoubtedly  The poorest are hit hardest   The    
1212,Today s  DeshKiBaat Debate Panelist on  Demonetization Watch tonight  30pm  All Etv Hindi Channels  
1213, Question in Narendra Modi App where PM is taking feedback if people support his  DeMonetization strategy 
1214, Modiji s  Demonetization  Farmers in acute distress No buyer for produce  amp  no money for Rabi sowing Anyone listening  
1215, Rs 40 lakh looted from a bank in Kishtwar in J amp K  Third such incident since  demonetization  That s how terrorists have 
1216, Question in Narendra Modi App where PM is taking feedback if people support his  DeMonetization strategy 
1217, Sanghi DMs ban social media criticism of  demonetization  Only  NMApp with scripted answers is allowed I guess    
1218,  trump shd learn from the stupid experiment of  demonetization done in India   Tackles black  money  terror  amp  counterfeit 
1219,We promise the  MinisterMenu is worth every saved 100 rupee  Don t let the  demonetization bring you down  
1220, Why   amp   trying to instigate Indians 4 a Civil war in India against  demonetization Arrest them 
1221, Tweet to   DNARumourBuster with any questions you may have about  demonetization and we ll give you the real news   KnowMore h 
1222,   Don t portray wrong pic  ji   Pl support  demonetization  It s good for poor The student was Vcoward
1223, Putting Nation over Party Politics  nitishkumar supports PM  on  Demonetization 
1224,  Demonetization The time has come to put MUDRA into action  writes Prof  R Vaidyanathan      
1225, Rs 40 lakh looted from a bank in Kishtwar in J amp K  Third such incident since  demonetization  That s how terrorists have 
1226,Over 90  of respondents feel govt s move to tackle  black money is above four star rating   demonetization  survey via TOI 
1227, Why oppns r running from pillar to post against  demonetization It beyond imanization  Now NOTEBADI SE BHARATBANDI TAK 
1228, Thanks to  demonetization 75  reduction in crime rate in India  Black money seems to be the sole reason 4 all problems in In 
1229, Aam Aadmi supports  Demonetization  And supports  
1230,  Demonetization The time has come to put MUDRA into action  writes Prof  R Vaidyanathan      
1231, Why   amp   trying to instigate Indians 4 a Civil war in India against  demonetization Arrest them 
1232, Why   amp   trying to instigate Indians 4 a Civil war in India against  demonetization Arrest them 
1233, shame on    Demonetization
1234,Live updates  Modi s App survey result shows over 93  people support  demonetization move 
1235, Thanks to  demonetization 75  reduction in crime rate in India  Black money seems to be the sole reason 4 all problems in In 
1236, Putting Nation over Party Politics  nitishkumar supports PM  on  Demonetization 
1237, Why   amp   trying to instigate Indians 4 a Civil war in India against  demonetization Arrest them 
1238,  Demonetization  9 New Steps to Help Citizens Fight the Cash Crunch   
1239, Left is going to file a petition in SC against govts decision on  demonetization   My que is why the hell don t you debate i 
1240, Thanks to  demonetization 75  reduction in crime rate in India  Black money seems to be the sole reason 4 all problems in In 
