,tweet_text
72, Demonetization and the Indian Economy An Interview by Doordarshan with Sri S Gurumurthy 
73, After the  demonetization  searches about  NarendraModi s app are trending on app stores 
74, Former FinSec  RBI Dy Governor  CBDT Chair   Harvard Professor lambaste  Demonetization   If not for Aam Aadmi  listen to th 
75, Survey result so far by  on  Demonetization  5 lakh response in 24 hrs  90  supports note ban   MeraDeshBadalRaha 
76, After much contemplation I have come to the conclusion that nothing explains Modi s  DeMonetization better than monumental 
77, What  demonetization indicates is loss of freedom Besides laws constitution court cops 2 govern people govt is using m 
78, Did you vote on  Demonetization on Modi survey app 
79,Ppl of India extending overwhelming supprt to  Ji s crusade agnst black money Survey   
80, Harvard s Larry Summers calls  Demonetization as poor policy with disproportionate negative impact on poor trade   
81, Rs 40 lakh looted from a bank in Kishtwar in J amp K  Third such incident since  demonetization  That s how terrorists have 
82,  DeMonetization survey results after 24 hours 5Lacs opinions Amazing response amp  Commitment in fight against Blackmoney  
83,People from rural areas are coming to Delhi just to withdraw cash    They have given up on govt  logistics      Demonetization
84, Critical question  Was PayTM informed about  Demonetization edict by PM  It s clearly fishy and requires full disclosure  amp  
85,  Demonetization   gives hilarious  shagun  suggestion to those struggling with wedding season  
86, Harvard s Larry Summers calls  Demonetization as poor policy with disproportionate negative impact on poor trade   
87,RT roshankar  Harvard s Larry Summers calls  Demonetization as poor policy with disproportionate negative impact o  
88, Calling all Nationalists to join    Walk for  CorruptionFreeIndia and spread the benefits of  Demonetization among the mas 
89, After much contemplation I have come to the conclusion that nothing explains Modi s  DeMonetization better than monumental 
90, BEFORE and AFTER Gandhi ji heard they are standing there against  Demonetization   
91, demonetization 90   of population is accepting it as country building measure  why these so called politicians opp  
92, Teacher  is there anybody who is absent today   No response   Teacher says 100  attendance   Demonetization  App  survey  
93,15 days after  demonetization  country is still suffering 4m acute shortage of currency notes  Big loss 2 economy Share market tumbling SOS
94, Did you vote on  Demonetization on Modi survey app 
95, Man ends life over fund shortage ahead of daughter s wedding in Gujarat   Demonetization    
96, Putting Nation over Party Politics  nitishkumar supports PM  on  Demonetization 
97,  Doltiwal I mean  JaiChandKejriwal is  hurt  by  Demonetization as the same has rendered USELESS  ed  U 00A0  U 00BD  ed  U 00B1  U 0089   acquired funds  No wo 
98, Calling all Nationalists to join    Walk for  CorruptionFreeIndia and spread the benefits of  Demonetization among the mas 
99, As of today  33000 thousand ATMs are functioning    SBI Chairman  Smt  Arundhati Bhattacharya   Demonetization
100, A man shaved his head at Jantar Mantar in protest against  Demonetization  on 13th day of the move  
101,Very unfortunate    India slips due to  demonetization       
102,What  demonetization indicates is loss of freedom Besides laws constitution court cops 2 govern people govt is using money 2 control people
103, Harvard s Larry Summers calls  Demonetization as poor policy with disproportionate negative impact on poor trade   
104,  Demonetization The time has come to put MUDRA into action  writes Prof  R Vaidyanathan      
105, Cooperative banks shut down  sowing season completely disrupted  agri markets  amp  Farmers badly affected  demonetization
106, Survey result so far by  on  Demonetization  5 lakh response in 24 hrs  90  supports note ban   MeraDeshBadalRaha 
107, Delete  Pathetic PM who conducts false poll and self praises himself   demonetization  BogusPoll  ModiScaredOfParliament 
108, BEFORE and AFTER Gandhi ji heard they are standing there against  Demonetization   
109,  Demonetization   gives hilarious  shagun  suggestion to those struggling with wedding season  
110, Teacher  is there anybody who is absent today   No response   Teacher says 100  attendance   Demonetization  App  survey  
111, Demonetization  PM is in  opposition is out of parliament 
112,  Doltiwal I mean  JaiChandKejriwal is  hurt  by  Demonetization as the same has rendered USELESS  ed  U 00A0  U 00BD  ed  U 00B1  U 0089   acquired funds  No wo 
113, Watch what  thinks about  demonetization    
114,    Frankly i don t understand why  doesn t address Parlmnt on  Demonetization  It s his duty amp wil 
115, Teacher  is there anybody who is absent today   No response   Teacher says 100  attendance   Demonetization  App  survey  
116, Teacher  is there anybody who is absent today   No response   Teacher says 100  attendance   Demonetization  App  survey  
117, Ts is exactly what Pappu  amp  opposition has done to themselves by opposing  Demonetization Now none can stop Modi bandwagon ti 
118, 8  This tweet of  BIBI explains why she is having a prob with  demonetization   In first part she says she can t 
119,  Doltiwal I mean  JaiChandKejriwal is  hurt  by  Demonetization as the same has rendered USELESS  ed  U 00A0  U 00BD  ed  U 00B1  U 0089   acquired funds  No wo 
120, Teacher  is there anybody who is absent today   No response   Teacher says 100  attendance   Demonetization  App  survey  
121, Did you vote on  Demonetization on Modi survey app 
122,  Demonetization   gives hilarious  shagun  suggestion to those struggling with wedding season  
123,  Demonetization move of Modi  Who is supporting it  who is opposing it and why  A complete coverage of all parties   
124, 8  This tweet of  BIBI explains why she is having a prob with  demonetization   In first part she says she can t 
125,Aam aadmi punished for sins of  blackmoney hoarders  SBI slashes  deposit rates by 1 9   Demonetization  netascashin 
126,Teacher  is there anybody who is absent today   No response   Teacher says 100  attendance   Demonetization  App  survey   ed  U 00A0  U 00BD  ed  U 00B8  U 0082  ed  U 00A0  U 00BD  ed  U 00B8  U 0080  ed  U 00A0  U 00BD  ed  U 00B8  U 00A0  ed  U 00A0  U 00BD  ed  U 00B8  U 00AE 
127, Survey result so far by  on  Demonetization  5 lakh response in 24 hrs  90  supports note ban   MeraDeshBadalRaha 
128, The queues are not getting longer but are getting shorter day by day  Chanda Kochar ICIC MD and CEO  demonetization 
129, 8  This tweet of  BIBI explains why she is having a prob with  demonetization   In first part she says she can t 
130,  giving cash through Mini ATMs to people in Hinterland   IndiaKaDil  Helping rural people in  Demonetization 
131, Did you vote on  Demonetization on Modi survey app 
132, Watch briefing on  Demonetization by DEA Secy  this morning here  
133, seems deskbhakt was in hibernation mode when GPS enabled 2000 rs was launched by  Modo 4  demonetization  ed  U 00A0  U 00BD  ed  U 00B8  U 0082  ed  U 00A0  U 00BD  ed  U 00B8  U 0082  ed  U 00A0  U 00BD  ed  U 00B8  U 0082 
134, Harvard s Larry Summers calls  Demonetization as poor policy with disproportionate negative impact on poor trade   
135, Did you vote on  Demonetization on Modi survey app 
136, Looks Ambit Capital  literally Choked with  demonetization  come on U can t lower d GDP nos by huge margin  Perhaps  they 
137,  Demonetization   gives hilarious  shagun  suggestion to those struggling with wedding season  
138,   takes a bite of the governemnt big  demonetization pie  becomes first  paymentbank to go live  
139,  DeMonetization survey results after 24 hours 5Lacs opinions Amazing response amp  Commitment in fight against Blackmoney  
140, Huge support for PM   s  demonetization Move Across the Nation  80 86  people back demonetization  C voter su 
141, Former FinSec  RBI Dy Governor  CBDT Chair   Harvard Professor lambaste  Demonetization   If not for Aam Aadmi  listen to th 
142, Harvard s Larry Summers calls  Demonetization as poor policy with disproportionate negative impact on poor trade   
143,The opposition is getting troubled because all their  BlackMoney have become just a piece of paper due to  demonetization   U 092C  U 0940  U 092E  U 093E  U 0930   U 0935  U 093F  U 092A  U 0915  U 094D  U 0937 
144, Harvard s Larry Summers calls  Demonetization as poor policy with disproportionate negative impact on poor trade   
145, Harvard s Larry Summers calls  Demonetization as poor policy with disproportionate negative impact on poor trade   
146, Harvard s Larry Summers calls  Demonetization as poor policy with disproportionate negative impact on poor trade   
147,  Demonetization   gives hilarious  shagun  suggestion to those struggling with wedding season  
148,    Please read alternative side of story also on  Demonetization  amp  support to PM Modi 
149,The effect of  DeMonetization has already shared by    Action are more important than words  
150, Joined the line of Opposition MPs demonstrating solidarity on  demonetization  amp demanding that  address Parliame 
151,  Demonetization   gives hilarious  shagun  suggestion to those struggling with wedding season  
152,After much contemplation I have come to the conclusion that nothing explains Modi s  DeMonetization better than monumental stupidity 
153, Rs 40 lakh looted from a bank in Kishtwar in J amp K  Third such incident since  demonetization  That s how terrorists have 
154, Former FinSec  RBI Dy Governor  CBDT Chair   Harvard Professor lambaste  Demonetization   If not for Aam Aadmi  listen to th 
155,  Demonetization   gives hilarious  shagun  suggestion to those struggling with wedding season  
156, Days before  Demonetization announcement   sold his Heritage shares clearly evident that he had prior knowledge of the 
157, In view of  current situation  RTGS time  has been extended upto 6 30 PM till 24th November  2016   Demonetization 
158,RT ZeeNewsSports   Demonetization  harbhajan singh gives hilarious  shagun  suggestion to those struggling with we  
159, 8  This tweet of  BIBI explains why she is having a prob with  demonetization   In first part she says she can t 
160, 8  This tweet of  BIBI explains why she is having a prob with  demonetization   In first part she says she can t 
161, Survey result so far by  on  Demonetization  5 lakh response in 24 hrs  90  supports note ban   MeraDeshBadalRaha 
162,  Demonetization   gives hilarious  shagun  suggestion to those struggling with wedding season  
163, Days before  Demonetization announcement   sold his Heritage shares clearly evident that he had prior knowledge of the 
164,  Demonetization   gives hilarious  shagun  suggestion to those struggling with wedding season  
165, Former FinSec  RBI Dy Governor  CBDT Chair   Harvard Professor lambaste  Demonetization   If not for Aam Aadmi  listen to th 
166, BEFORE and AFTER Gandhi ji heard they are standing there against  Demonetization   
167,  Demonetization   gives hilarious  shagun  suggestion to those struggling with wedding season  
168,Former FinSec  RBI Dy Governor  CBDT Chair   Harvard Professor lambaste  Demonetization   If not for Aam Aadmi  listen to them no PM Modi 
169,RT ZeeNewsSports   Demonetization  harbhajan singh gives hilarious  shagun  suggestion to those struggling with we  
170, Survey result so far by  on  Demonetization  5 lakh response in 24 hrs  90  supports note ban   MeraDeshBadalRaha 
171, The Modi app on  DeMonetization proves once again that the govt is totally indifferent to the mounting misery and hards 
172, How come those people crying for line in banks are not crying for line ups here in         demonetization 
173,  Demonetization   gives hilarious  shagun  suggestion to those struggling with wedding season  
174, 8  This tweet of  BIBI explains why she is having a prob with  demonetization   In first part she says she can t 
175, BEFORE and AFTER Gandhi ji heard they are standing there against  Demonetization   
176, BEFORE and AFTER Gandhi ji heard they are standing there against  Demonetization   
177,  Demonetization   gives hilarious  shagun  suggestion to those struggling with wedding season  
178, Rs 40 lakh looted from a bank in Kishtwar in J amp K  Third such incident since  demonetization  That s how terrorists have 
179, Demonetization   gives hilarious  shagun  suggestion to those struggling with wedding season  
180, A man shaved his head at Jantar Mantar in protest against  Demonetization  on 13th day of the move  
181, Critical question  Was PayTM informed about  Demonetization edict by PM  It s clearly fishy and requires full disclosure  amp  
182, Survey result so far by  on  Demonetization  5 lakh response in 24 hrs  90  supports note ban   MeraDeshBadalRaha 
183, How come those people crying for line in banks are not crying for line ups here in         demonetization 
184,    Frankly i don t understand why  doesn t address Parlmnt on  Demonetization  It s his duty amp wil 
185, Ts is exactly what Pappu  amp  opposition has done to themselves by opposing  Demonetization Now none can stop Modi bandwagon ti 
186, Modi s  demonetization received massive public approval  So why is opposition worried about common man and create ruckus i 
187, Survey result so far by  on  Demonetization  5 lakh response in 24 hrs  90  supports note ban   MeraDeshBadalRaha 
188,Harvard s Larry Summers calls  Demonetization as poor policy with disproportionate negative impact on poor trade   
189,    Frankly i don t understand why  doesn t address Parlmnt on  Demonetization  It s his duty amp wil 
190,  Demonetization  The Ultimate Weapon against Black economy  via 
191, Joined the line of Opposition MPs demonstrating solidarity on  demonetization  amp demanding that  address Parliame 
192,Monumental blunder or monumental plunder or both   demonetization
193, And they say  demonetization is failure 
194, 8  This tweet of  BIBI explains why she is having a prob with  demonetization   In first part she says she can t 
195,Modi acted against national interest  The way to cashless economy need not be  Demonetization  A badly planned move 
196, The effect of  Demonetization      
197, More than 700 Fish Vendors across Kolkata have started using e wallets  Before  demonetization this number was zero    Thi 
198, Critical question  Was PayTM informed about  Demonetization edict by PM  It s clearly fishy and requires full disclosure  amp  
199, Survey result so far by  on  Demonetization  5 lakh response in 24 hrs  90  supports note ban   MeraDeshBadalRaha 
200, Did you vote on  Demonetization on Modi survey app 
201, BEFORE and AFTER Gandhi ji heard they are standing there against  Demonetization   
202, The effect of  Demonetization      
203, The queues are not getting longer but are getting shorter day by day  Chanda Kochar ICIC MD and CEO  demonetization 
204, When was the last time you saw Naveen Patnaik or Chandrababu Naidu being interviewed on BBC or NDTV on  DeMonetization 
205,  Demonetization move of Modi  Who is supporting it  who is opposing it and why  A complete coverage of all parties   
206, After the  demonetization  searches about  NarendraModi s app are trending on app stores 
207, The effect of  Demonetization      
208, A man shaved his head at Jantar Mantar in protest against  Demonetization  on 13th day of the move  
209, BEFORE and AFTER Gandhi ji heard they are standing there against  Demonetization   
210, Rs 40 lakh looted from a bank in Kishtwar in J amp K  Third such incident since  demonetization  That s how terrorists have 
211, Survey result so far by  on  Demonetization  5 lakh response in 24 hrs  90  supports note ban   MeraDeshBadalRaha 
212, 8  This tweet of  BIBI explains why she is having a prob with  demonetization   In first part she says she can t 
213, A Housewife s view on  demonetization 
214,  MD ItzCash   was live on ET talking about the impact of  Demonetization towards digitization in India  
215, A man shaved his head at Jantar Mantar in protest against  Demonetization  on 13th day of the move  
216, Difficult to verify but if true points to orchestrated campaign to discredit  demonetization with paid fear mongers htt 
217, BEFORE and AFTER Gandhi ji heard they are standing there against  Demonetization   
218, Critical question  Was PayTM informed about  Demonetization edict by PM  It s clearly fishy and requires full disclosure  amp  
219, 8  This tweet of  BIBI explains why she is having a prob with  demonetization   In first part she says she can t 
220, The Modi app on  DeMonetization proves once again that the govt is totally indifferent to the mounting misery and hards 
221, L amp T is retrenching 14000 employees   Hope none of the supporters of  Demonetization are included 
222, 8  This tweet of  BIBI explains why she is having a prob with  demonetization   In first part she says she can t 
223, Rs 40 lakh looted from a bank in Kishtwar in J amp K  Third such incident since  demonetization  That s how terrorists have 
224, Days before  Demonetization announcement   sold his Heritage shares clearly evident that he had prior knowledge of the 
225, This is exactly how some people behaving on  demonetization   Since Modi Did it lets oppose it If Sonia Gandhi have done i 
226, Today I delivered a speech on various issues including  BlackMoney n  demonetization at     
227, Economy and cost of  Demonetization  
228, Ts is exactly what Pappu  amp  opposition has done to themselves by opposing  Demonetization Now none can stop Modi bandwagon ti 
229, BEFORE and AFTER Gandhi ji heard they are standing there against  Demonetization   
230, BEFORE and AFTER Gandhi ji heard they are standing there against  Demonetization   
231, 8  This tweet of  BIBI explains why she is having a prob with  demonetization   In first part she says she can t 
232, BEFORE and AFTER Gandhi ji heard they are standing there against  Demonetization   
233, NO   will say this fire was caused because of  DeMonetization and  is responsible  
234, Most people are with you  on  Demonetization Pl run a poll on where citizens face most harassment in the 
235,  Demonetization s Impact On the  India  Retail sector   Re Tales by Pankaj Renjhen   ET Retail 
236, Putting Nation over Party Politics  nitishkumar supports PM  on  Demonetization 
237, The Modi app on  DeMonetization proves once again that the govt is totally indifferent to the mounting misery and hards 
238, A World Economist is Rubbishing  Demonetization in India and mind it he doesn t have to score Brownie Points in Indian Politi 
239,  DeMonetization survey results after 24 hours 5Lacs opinions Amazing response amp  Commitment in fight against Blackmoney  
240, Did you vote on  Demonetization on Modi survey app 
241, Did you vote on  Demonetization on Modi survey app 
242, Gurugram  Haryana   Post office employees provide cash exchange to patients in hospitals  demonetization 
243, Did you vote on  Demonetization on Modi survey app 
244, 8  This tweet of  BIBI explains why she is having a prob with  demonetization   In first part she says she can t 
245, Did you vote on  Demonetization on Modi survey app 
246, Did you vote on  Demonetization on Modi survey app 
247, A World Economist is Rubbishing  Demonetization in India and mind it he doesn t have to score Brownie Points in Indian Politi 
248, Huge support for PM   s  demonetization Move Across the Nation  80 86  people back demonetization  C voter su 
249, Did you vote on  Demonetization on Modi survey app 
250,  DeMonetization survey results after 24 hours 5Lacs opinions Amazing response amp  Commitment in fight against Blackmoney  
251,  Demonetization move of Modi  Who is supporting it  who is opposing it and why  A complete coverage of all parties   
252, Yes  We should always rely on private psephologists agencies   Always reliable  can vouch for it  demonetization
253,  Demonetization is the 2nd word trending after  Intolerance  Thanks Pappu  Kejri  Mamta   VishalJanSabha  KhulkeDulke  Ind 
254, 8  This tweet of  BIBI explains why she is having a prob with  demonetization   In first part she says she can t 
255, Today I saw 200 black money hoarders out of 125 crore standing in ques outside Parliament against  Demonetization 
256, BEFORE and AFTER Gandhi ji heard they are standing there against  Demonetization   
257, 2day  namovolunteers had meeting with  ji over  demonetization  decided 2 expose opposition by   U 0938  U 093E  U 0930  U 0947   U 091A  U 094B  U 0930   U 092E  
258, 8  This tweet of  BIBI explains why she is having a prob with  demonetization   In first part she says she can t 
259, The Modi app on  DeMonetization proves once again that the govt is totally indifferent to the mounting misery and hards 
260,Exceptional response by the people in support of  Demonetization 
261, 8  This tweet of  BIBI explains why she is having a prob with  demonetization   In first part she says she can t 
262, Even if you re 100  white money  amp  even if you re unaffected  this  demonetization move has given a lot of folks a reason to pa 
263,Mr Dust o bin of TMC to release Mamta App world wide to look after  demonetization support      
264, 8  This tweet of  BIBI explains why she is having a prob with  demonetization   In first part she says she can t 
265,  Demonetization Now affecting even the dumb rich    who now have to use public transport 
266,Cousin fired 27 staff today with a promise 2 rehire in 6 months Says no new orders   no cash to pay them  Heartbreaking    Demonetization
267,I thought only black money holder wud hate demonetization  No there r many  we cal them by many names like C    l    etc etc  demonetization
268,  more bhakt abuse more Modi reduce  demonetization open pandora box everyone knows Modi has no brain everything go in drain
269,How can a  PM who can t even  control his  emotions   control an  entire  nation   Demonetization  NotADefaulter  PMModi  NotProCongress   ed  U 00A0  U 00BE  ed  U 00B4  U 0090  ed  U 00A0  U 00BD  ed  U 00B8  U 0092 
270, 8  This tweet of  BIBI explains why she is having a prob with  demonetization   In first part she says she can t 
271, The effect of  Demonetization      
272, 8  This tweet of  BIBI explains why she is having a prob with  demonetization   In first part she says she can t 
273, Rs 40 lakh looted from a bank in Kishtwar in J amp K  Third such incident since  demonetization  That s how terrorists have 
274,  Demonetization Is Disaster   
275, The Modi app on  DeMonetization proves once again that the govt is totally indifferent to the mounting misery and hards 
276, 8  This tweet of  BIBI explains why she is having a prob with  demonetization   In first part she says she can t 
277, Rs 40 lakh looted from a bank in Kishtwar in J amp K  Third such incident since  demonetization  That s how terrorists have 
278,  Doltiwal I mean  JaiChandKejriwal is  hurt  by  Demonetization as the same has rendered USELESS  ed  U 00A0  U 00BD  ed  U 00B1  U 0089   acquired funds  No wo 
279, Survey result so far by  on  Demonetization  5 lakh response in 24 hrs  90  supports note ban   MeraDeshBadalRaha 
280,  Demonetization Is Disaster   
